Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Hour_of_day,Is_night,Is_rush_hour,Is_weekend
Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,Not a Pedestrian,Driving carelessly,10,0,0,0
Saturday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Moving Backward,4,1,0,1
Sunday,31-50,Male,Above high school,Employee,2-5yr,Special vehicle,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Changing lane to the right,20,1,0,1
Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with animals,1,1,Going straight,Not a Pedestrian,Other,15,0,0,1
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Crossing from driver's nearside,No priority to vehicle,20,1,0,0
Wednesday,18-30,Male,Unknown,Employee,5-10yr,Lorry (11?40Q),Owner,Unknown,Unknown,Office areas,Unknown,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to vehicle,19,0,1,0
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Changing lane to the left,12,0,0,0
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Not a Pedestrian,Turnover,18,0,1,0
Friday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,7,0,1,0
Wednesday,Under 18,Male,Junior high school,Employee,Unknown,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,X Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,8,0,1,0
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Not a Pedestrian,Overtaking,17,0,1,0
Tuesday,31-50,Male,Junior high school,Owner,2-5yr,Public (13?45 seats),Owner,5-10yrs,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,Driving carelessly,12,0,0,0
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Other,Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving at high speed,17,0,1,1
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,U-Turn,Not a Pedestrian,Changing lane to the left,20,1,0,0
Saturday,Unknown,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from driver's nearside,No priority to pedestrian,14,0,0,1
Tuesday,Unknown,Male,Junior high school,Owner,Below 1yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to vehicle,20,1,0,0
Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,20,1,0,1
Friday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (11?40Q),Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,No priority to vehicle,9,0,1,0
Tuesday,Under 18,Male,High school,Employee,Below 1yr,Pick up upto 10Q,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,8,0,1,0
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Above 10yr,No defect,Church areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the right,8,0,1,0
Friday,Unknown,Female,High school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,Not a Pedestrian,Changing lane to the right,19,0,1,0
Friday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,No distancing,15,0,0,0
Monday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Not a Pedestrian,No distancing,19,0,1,0
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Not a Pedestrian,No priority to vehicle,22,1,0,0
Thursday,Unknown,Female,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,3,Moving Backward,Not a Pedestrian,No distancing,18,0,1,0
Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Driving carelessly,12,0,0,1
Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Changing lane to the right,12,0,0,1
Tuesday,31-50,Male,High school,Employee,2-5yr,Lorry (11?40Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,3,Going straight,Not a Pedestrian,Changing lane to the right,19,0,1,0
Saturday,18-30,Male,Junior high school,Owner,1-2yr,Unknown,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,18,0,1,1
Saturday,Under 18,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Rollover,3,4,Going straight,Not a Pedestrian,Changing lane to the left,19,0,1,1
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Other,15,0,0,1
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,17,0,1,0
Thursday,31-50,Male,High school,Employee,1-2yr,Automobile,Owner,2-5yrs,Unknown,Other,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,16,0,0,0
Friday,31-50,Male,Unknown,Owner,Unknown,Stationwagen,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No priority to vehicle,16,0,0,0
Saturday,31-50,Unknown,Junior high school,Employee,2-5yr,Long lorry,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Not a Pedestrian,Driving carelessly,11,0,0,1
Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Turnover,14,0,0,0
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Organization,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Driving under the influence of drugs,16,0,0,0
Tuesday,Under 18,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Gravel roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Turnover,Not a Pedestrian,Changing lane to the right,20,1,0,0
Wednesday,Unknown,Female,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Unknown,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,20,1,0,0
Monday,Under 18,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Changing lane to the left,8,0,1,0
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Moving Backward,22,1,0,0
Thursday,18-30,Male,Unknown,Owner,Below 1yr,Other,Owner,Unknown,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,14,0,0,0
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Overtaking,9,0,1,0
Wednesday,Unknown,Male,Unknown,Owner,Unknown,Lorry (41?100Q),Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Not a Pedestrian,Moving Backward,15,0,0,0
Friday,Over 51,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,6,0,0,0
Thursday,18-30,Male,Above high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,18,0,1,0
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,Above 10yr,Unknown,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,Not a Pedestrian,Changing lane to the right,15,0,0,1
Friday,31-50,Male,Unknown,Employee,Unknown,Public (13?45 seats),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Other,14,0,0,0
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Driving carelessly,16,0,0,0
Tuesday,Over 51,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,18,0,1,0
Friday,Unknown,Male,Junior high school,Unknown,1-2yr,Public (> 45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving to the left,9,0,1,0
Wednesday,Over 51,Male,Unknown,Unknown,Unknown,Stationwagen,Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Not a Pedestrian,Driving carelessly,12,0,0,0
Saturday,31-50,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Driving under the influence of drugs,14,0,0,1
Wednesday,Under 18,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Moving Backward,10,0,0,0
Thursday,18-30,Male,Elementary school,Owner,5-10yr,Unknown,Owner,Above 10yr,Unknown,Office areas,other,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,No distancing,9,0,1,0
Monday,Under 18,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Not a Pedestrian,Changing lane to the left,12,0,0,0
Thursday,Over 51,Male,Junior high school,Owner,5-10yr,Lorry (11?40Q),Owner,Above 10yr,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Entering a junction,Not a Pedestrian,No priority to vehicle,13,0,0,0
Friday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Unknown,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Moving Backward,17,0,1,0
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Unknown,Tangent road with mild grade and flat terrain,Y Shape,Other,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Unknown,Not a Pedestrian,Other,18,0,1,0
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Other,Not a Pedestrian,Changing lane to the right,13,0,0,0
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,0,1,0,0
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Moving Backward,18,0,1,0
Thursday,31-50,Male,High school,Employee,5-10yr,Long lorry,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Moving Backward,Not a Pedestrian,Driving at high speed,17,0,1,0
